Page ID,Page name,Disclaimer,Amount spent (CHF)
1984141558513511,Franziska Barmettler,Franziska Barmettler,503
112662478341274,joelgretsch,Joel Gretsch,490
103580977678645,Julian Croci,Julian Andrea Croci,477
1483343695307824,Campax,Campax,458
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,449
110707875106219,SVP Bezirk Hinwil,SVP Bezirk Hinwil,444
993815333967102,Andreas Leupi,Andreas Patrick Leupi,438
110616465067898,Initiative Gesunde Jugend Jetzt,Die Junge Mitte Kanton Zürich,434
103638965961747,Gabriel Mäder - Grünliberale,Gabriel Markus Mäder,429
921336971288655,Nagra,Nagra,413
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,409
105306632453966,Tobias Mäder,Tobias Mäder,400
534190816671421,Michael Wiget,Michael Peter Wiget,400
108692711660498,Urs Wegmann,Urs Wegmann,391
854141954663925,Isabel Garcia GLP,Isabel Garcia Brunisholz,380
143714586302267,Urs Bänziger FDP,Urs Baenziger,377
476237372525131,Christa Isabelle Stünzi - glp ZH,Christa Isabelle Stünzi - glp ZH,361
355645665140771,Nicola Forster,Nicola Forster,361
104203868811586,Martina Dürr,Martina Regula  Dürr,360
619051955163582,AWOB - Adrian Wegmann Oberrieden,Adrian Wegmann,354
106856564074635,Hansjörg Germann FDP in den Kantonsrat,Hansjörg Beat Germann,342
261452338060969,Domenik Lädi Ledergerber,Überparteiliches Unterstützungskomitee Domenik Ledergerber,341
116663695061094,SP Bezirk Meilen,SP Bezirk Meilen,340
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,326
116063758043441,Facundo Zimmerli,Facundo Nahuel Zimmerli,319
105386249047369,Jakob Ehrensperger,Jakob Ehrensperger,316
100487835772742,Josef Widler in den Kantonsrat,Josef Widler,300
190285574861316,Grüne Uster,Grüne Bezirk Uster,296
627220684023668,GRÜNE Zürich,Grüne Stadt Zürich,295
110336161874621,Urban Husi in den Kantonsrat ZH,Urban Pius Matthäus Husi Fiechter,288
650175488441328,Martin Farner,Farners GmbH,284
589840718124415,Grünliberale Knonaueramt,Grünliberale Knonaueramt,280
135939773133793,Grüne Winterthur,Grüne Winterthur,279
191136321464981,Die Mitte Stadt Winterthur,These ads ran without a disclaimer,278
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,272
281675942494661,SVP Bezirk Pfäffikon ZH,SVP Bezirk Pfäffikon ZH,266
1533854886905047,Elfenau Schweiz AG,Emanuel Georg Tschannen,262
103850865786634,Grünliberale Bezirk Hinwil,Grünliberale Bezirk Hinwil,256
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,250
103571105961903,Marc-André Beck,Marc-André Beck,248
106615082184530,Raffael Grütter - GLP,Raffael Grütter,246
429342907157034,Beat Habegger,Beat Michael Habegger,237
135366813191979,Urs Waser Kantonsrat,Waser Urs,237
106964611977537,Switlo,Switlo,233
285821738704789,Nathalie Aeschbacher,Nathalie Anna Aeschbacher,233
107515328348195,Michael Uebersax,Michael Stefan Uebersax,221
301243053989575,Mario Senn,Mario Senn,214
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,204
101767182105712,Grüne Bezirk Affoltern,GRÜNE Bezirk Affoltern,200
192244290829565,Anita Borer,Anita Borer,196
364939817683277,Marco Hirzel Politik,Marco Hirzel Politik,195
123731471009473,Yvonne Bürgin,Yvonne Bürgin,187
608260099589519,Dominic Täubert,EVP Kanton Zürich,183
120204928045279,SP Wetzikon,SP Wetzikon,179
864604443735247,SVP Bezirk Dietikon,SVP Bezirk Dietikon,177
416743625125770,Grüne Zürichsee,Thomas Forrer,176
591968957877984,Andrea Isler,Andrea Lara Isler,174
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,173
259871484198551,Thomas Matter,Thomas Matter,173
105262295297064,FDP.Die Liberalen Nürensdorf,FDP.Die Liberalen Nürensdorf,166
107145438948044,Dominique Zygmont in den Kantonsrat,Dominique Daniel Zygmont,155
335609400529370,FDP Horgen,FDP Horgen,154
